otuid	Family	Genus	Species
otu1	Prymnesiaceae	Prymnesium	Prymnesium_parvum
otu2	Prymnesiaceae	Prymnesium	Prymnesium_parvum
otu3	Prymnesiaceae	Prymnesium	Prymnesium_polylepis
otu4	Prymnesiaceae	Prymnesium	Prymnesium_sp.
otu5	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_leadbeateri
otu6	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_leadbeateri
otu7	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii
otu8	Prymnesiaceae	Prymnesium	Prymnesium_parvum
otu9	Prymnesiaceae	Prymnesium	Prymnesium_parvum
otu10	Prymnesiaceae	Prymnesium	Prymnesium_polylepis
otu11	Prymnesiaceae	Prymnesium	Prymnesium_sp.
otu12	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_leadbeateri
otu13	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_leadbeateri
otu14	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii
otu15	Prymnesiaceae	Prymnesium	Prymnesium_parvum
